uuid,downstream,lon1,lat1,lon2,lat2
urn:uuid:12c633ee-828e-4c58-b698-54647e70c995,urn:uuid:f50d9de4-1e09-4a75-8128-11d3339a7753,111.486667,26.608333,111.436667,26.750000
urn:uuid:aa7be53b-ba6d-4048-914c-f19e84979e3a,urn:uuid:20b87c26-686c-4200-99f3-e13a379b9a80,119.376667,32.785833,119.405833,32.775000
urn:uuid:d7f029c4-895f-4c0e-86f4-6e4036d80bd0,urn:uuid:7d10a024-9ef8-4f4a-8155-990ade51f34b,100.704167,29.442500,100.677500,29.469167
urn:uuid:eae19328-14a0-48dc-a401-fd6a4ec20033,urn:uuid:8b51eda1-ec57-4b2b-a854-da5ff69e4066,113.633333,28.569167,113.507500,28.568333
urn:uuid:68831bd3-8d5d-40cd-8ae9-7eb20ba74d37,urn:uuid:fe90ca24-68c4-41ee-a2f5-9f50486d6384,94.655833,34.215000,94.645833,34.179167
urn:uuid:3f6821bb-f3d6-401e-8835-4631c890d483,urn:uuid:bc3b5cd2-459e-4a4a-a9bb-6c95842e008d,113.611667,29.349167,113.652500,29.350000
urn:uuid:a31f0f45-f180-4f71-86be-a4abe80ef491,urn:uuid:70a58069-18b0-4c58-a2d7-718a3edab2c8,117.557500,29.200833,117.464167,29.187500
urn:uuid:250d6615-d17f-4afc-9660-8b3eecac4c94,urn:uuid:6b4aaee6-1c05-419d-951e-d821bcd1bf2e,111.911667,29.154167,111.863333,29.194167
urn:uuid:985fd5a6-8c16-4e10-b478-24dcdd3d966e,urn:uuid:614de19f-fdf2-4999-8c2c-3566fbf33718,116.219167,28.623333,116.071667,28.523333
urn:uuid:e8e57202-d2c5-429e-bebd-775075db5e2d,urn:uuid:05bb5651-7a1a-4b21-8058-bd62f8bc0e54,100.149167,29.699167,100.137500,29.692500
urn:uuid:ecc55224-bc9b-4ec6-9a4d-9fa782a0335a,urn:uuid:b2def165-6ee0-4198-a6cd-886403f3acd5,106.692500,28.660833,106.676667,28.650000
urn:uuid:9f8f15ef-e27d-42e3-8d3e-8bc96bcd833b,urn:uuid:e2365018-e86f-4eeb-ae7c-b6d9c1ae9b9e,105.078333,30.264167,105.066667,30.305833
